province,district,year,event_count,occurrence,Q2,Q263,Q3,Q4,Q5
1,100,2008,5,Violence,1.3,2.8,1.4210526315789473,2.9,3.4
1,101,2008,5,Violence,1.6,1.1,1.6,1.7,2.3
1,102,2008,5,Violence,1.3,2.45,1.35,2.3,3.3
1,103,2008,5,Violence,1.7,2.5,1.4,2.1,3.2
1,104,2008,5,Violence,1.95,2.210526315789474,1.4736842105263157,2.55,3.3157894736842106
1,105,2008,5,Violence,1,3.1,1.3,2.5,3.1
1,106,2008,5,Violence,1.25,1.25,0.85,1.7,2.75
1,107,2008,5,Violence,2,1.7,1,2.9,3.8
1,108,2008,5,Violence,1.55,2.8,1.15,2.35,3.6
1,109,2008,5,Violence,1.2,2.4,1.2,3,3.4444444444444446
1,110,2008,5,Violence,1.8,2.1,1.2,3.2,3.2
1,111,2008,5,Violence,1.2,1.4,0.8,0.9,2.5
1,113,2008,5,Violence,1.6,1.6,1.4,1,2.3
1,115,2008,5,Violence,1.1,3.1,1,2.4,3
1,120,2008,5,Violence,1.2,2.4,1,2.7,3.4
1,124,2008,5,Violence,1.6,2.95,1.6,2.7,3.5
1,131,2008,5,Violence,0.95,3.15,0.65,1.95,2.75
2,132,2008,3,Violence,1.1282051282051282,2.975,0.8717948717948718,2.975,3.55
2,133,2008,3,Violence,0.55,1.9,0.45,2.35,2.5
2,134,2008,3,Violence,1.25,1.6,1.25,2.55,3.05
2,135,2008,3,Violence,1.25,2.85,1.3,2.2,3.5789473684210527
2,136,2008,3,Violence,1.35,3.35,1.15,3.2,4.1
2,138,2008,3,Violence,1.65,3.45,1.6,3.65,3.95
3,139,2008,4,Violence,1.525,2.45,1.3333333333333333,2.325,2.65
3,140,2008,4,Violence,2,3.55,1.8,2.55,3.7
3,141,2008,4,Violence,1.35,2.4,0.9473684210526315,2.3684210526315788,3.25
3,142,2008,4,Violence,1.75,2.9,1.5,3.25,4.05
3,143,2008,4,Violence,1.55,3.1,1.55,3.05,3.8
3,145,2008,4,Violence,1.35,2.4,0.9,2.4,2.5
3,148,2008,4,Violence,0.9,2.1,0.65,1.8888888888888888,2.35
4,149,2008,5,Violence,1.3157894736842106,2.6,1.1578947368421053,2.35,2.95
4,150,2008,5,Violence,0.41025641025641024,1.35,0.3333333333333333,1.625,2.175
4,151,2008,5,Violence,0.42105263157894735,1.2,0.45,0.9,1.5
4,152,2008,5,Violence,0.85,1.35,0.8947368421052632,1.3,2.2
4,154,2008,5,Violence,0.6842105263157895,2.75,0.9,2.4210526315789473,3
4,155,2008,5,Violence,1.05,1.65,1,2.05,2.85
4,157,2008,5,Violence,0.15,0.7,0.05,0,1
5,158,2008,6,Violence,0.20512820512820512,1,0.02564102564102564,0.9487179487179487,1.8717948717948718
5,159,2008,6,Violence,0.15,0.9,0.05,0.5789473684210527,1.45
5,160,2008,6,Violence,0.6,1.85,0.1282051282051282,1.55,2.025
5,161,2008,6,Violence,0.05263157894736842,1.0526315789473684,0.05263157894736842,1.105263157894737,2
5,162,2008,6,Violence,0,1.15,0,1.55,2.45
5,163,2008,6,Violence,0.45,1.6,0.05,1.35,2
6,165,2008,7,Violence,1.25,2.6,0.75,1.35,2.3
6,168,2008,7,Violence,1.105263157894737,2.5,0.6,1.8,2.55
6,169,2008,7,Violence,1.6111111111111112,2.7777777777777777,1,1.5555555555555556,3.111111111111111
6,171,2008,7,Violence,0.85,2.1052631578947367,0.95,1.9,2.3
6,172,2008,7,Violence,0.95,1.95,0.6842105263157895,1.45,2.15
6,174,2008,7,Violence,0.6,1.95,0.8,1.3,2
6,176,2008,7,Violence,1.105263157894737,2.6842105263157894,0.9473684210526315,1.894736842105263,2.5789473684210527
6,181,2008,7,Violence,1.05,2,0.85,1.6,2.15
8,184,2008,5,Violence,1,2.1875,0.5294117647058824,2.611111111111111,2.3333333333333335
8,186,2008,5,Violence,0.8888888888888888,1.8421052631578947,0.65,1.8421052631578947,1.894736842105263
8,187,2008,5,Violence,0.9,1.85,0.6,1.7,1.9473684210526316
8,189,2008,5,Violence,0.65,1.7,0.6,1.7,2.05
8,191,2008,5,Violence,0.8947368421052632,1.7777777777777777,0.75,1.8,2
8,193,2008,5,Violence,0.8,2.0526315789473686,0.45,2.0526315789473686,1.9
8,197,2008,5,Violence,1.25,2.473684210526316,1,2.2,2.4210526315789473
8,200,2008,5,Violence,1.05,2.2777777777777777,0.8421052631578947,2.2,2.3157894736842106
7,203,2008,0,No Violence,0.8974358974358975,1.6486486486486487,0.9743589743589743,2,2.75
7,205,2008,0,No Violence,1.1,2.2,0.9,2.2,2.888888888888889
7,206,2008,0,No Violence,1.2142857142857142,1.5555555555555556,0.8928571428571429,1.8214285714285714,2.5714285714285716
7,207,2008,0,No Violence,1.1764705882352942,1.9411764705882353,0.7692307692307693,1.625,2.6363636363636362
7,208,2008,0,No Violence,1.2352941176470589,1.7777777777777777,0.8823529411764706,1.7333333333333334,2.4615384615384617
7,210,2008,0,No Violence,1.1578947368421053,2.0526315789473686,0.6470588235294118,1.894736842105263,2.611111111111111
7,212,2008,0,No Violence,1.3,1.7222222222222223,0.9473684210526315,2.210526315789474,2.7058823529411766
9,214,2008,8,Violence,1.125,1.6842105263157894,0.631578947368421,1.2105263157894737,2.1052631578947367
9,216,2008,8,Violence,1,1.65,1.05,1.45,1.9
9,217,2008,8,Violence,0.7368421052631579,1.8,0.8,1.736842105263158,2.75
9,218,2008,8,Violence,0.7647058823529411,1.75,0.7,1.4,2.55
9,220,2008,8,Violence,0.9444444444444444,1.9,0.8947368421052632,2.0526315789473686,3.1
9,223,2008,8,Violence,0.42105263157894735,1.05,0.65,1.1,1.65
9,224,2008,8,Violence,0.2631578947368421,0.8125,0.2777777777777778,0.8947368421052632,1.8421052631578947
9,226,2008,8,Violence,0.3157894736842105,0.7333333333333333,0.5263157894736842,0.6666666666666666,1.263157894736842
10,227,2008,4,Violence,1.4137931034482758,2.2333333333333334,1.3666666666666667,2.033333333333333,2.6666666666666665
10,228,2008,4,Violence,0.75,1.2,0.9,2,2.55
10,230,2008,4,Violence,1.15,2.45,1.05,2.25,3.2
10,231,2008,4,Violence,0.85,2.1578947368421053,0.95,1.9,1.05
10,236,2008,4,Violence,1.15,2.4,1,2.35,3.05
10,238,2008,4,Violence,1.263157894736842,2,1.0526315789473684,2.210526315789474,2.3684210526315788
10,242,2008,4,Violence,1.5714285714285714,2.4,1.7333333333333334,2.6666666666666665,3.4285714285714284
10,244,2008,4,Violence,1.7894736842105263,2.95,1.7,3.1,4
10,247,2008,4,Violence,1.2,2.9,1.2,2.4,2.15
12,249,2008,6,Violence,0.4,1.4444444444444444,0.65,1.05,1.95
12,250,2008,6,Violence,0.8421052631578947,1.8333333333333333,0.9444444444444444,1.6,2.4
12,252,2008,6,Violence,0.95,1.75,0.9,1.55,2.6
12,254,2008,6,Violence,0.9,1.8421052631578947,1.3,1.6,2.55
12,256,2008,6,Violence,1.2,2.05,0.8947368421052632,2.15,3
12,258,2008,6,Violence,1.05,2,0.5263157894736842,1.6,2.5
12,260,2008,6,Violence,1.25,1.7,1.3,1.5263157894736843,2.6842105263157894
12,263,2008,6,Violence,1,2.1,1,1.85,2.75
11,264,2008,2,Violence,1.075,2.6,1.375,2.575,3.4
11,265,2008,2,Violence,1.375,2.375,1.3846153846153846,2.525,3.275
11,266,2008,2,Violence,1.075,2.2,1.15,2.1,3.125
11,267,2008,2,Violence,1.15,1.85,1.1,2,2.95
11,268,2008,2,Violence,1.15,2.15,1.05,2.2,3.15
13,269,2008,4,Violence,0.75,2.3,0.9473684210526315,2,2.8
13,270,2008,4,Violence,0.918918918918919,1.5555555555555556,0.8108108108108109,1.4594594594594594,1.85
13,271,2008,4,Violence,0.75,2.05,0.9473684210526315,1.7,2.6
13,272,2008,4,Violence,0.55,1.9,0.65,1.35,2.65
13,274,2008,4,Violence,1.4,2.3,1.105263157894737,2.4,3.1
13,275,2008,4,Violence,1.3,2.210526315789474,1,2.4,3.4
13,276,2008,4,Violence,0.3,1.85,0.4,1.65,2.55
14,277,2008,0,No Violence,1.55,3.25,1.35,3.1,3.8947368421052633
14,279,2008,0,No Violence,1.8,3.3,1.4,3.6,4.4
14,281,2008,0,No Violence,1.3,2.95,1.35,2.45,3.3684210526315788
14,282,2008,0,No Violence,1.55,3.1,1.2777777777777777,2.8,4.105263157894737
14,284,2008,0,No Violence,0.9,2.3684210526315788,1,2,3
14,286,2008,0,No Violence,1.875,3.8,1.5,3.2,4.4
14,287,2008,0,No Violence,1.55,3.35,1.35,3.35,4.25
14,291,2008,0,No Violence,1.1,2.789473684210526,1.3,2.6,3.736842105263158
14,302,2008,0,No Violence,0.95,1.9444444444444444,1.105263157894737,2.05,3.111111111111111
15,305,2008,0,No Violence,1.3,2.6923076923076925,1.4,2.675,2.948717948717949
15,306,2008,0,No Violence,1.225,2.75,1.375,2.7,3.3947368421052633
15,309,2008,0,No Violence,1.1875,2.8125,1.0625,1.8125,3.125
15,311,2008,0,No Violence,1.45,2.85,1.45,2.6,3.6
15,314,2008,0,No Violence,1.45,2.35,1.3,2.4,3.1578947368421053
15,318,2008,0,No Violence,1.3333333333333333,2.3684210526315788,1.1578947368421053,2.15,2.95
16,322,2008,1,Violence,1.5357142857142858,2.76,1.1851851851851851,2.2857142857142856,2.607142857142857
16,323,2008,1,Violence,1.2333333333333334,1.7666666666666666,0.8666666666666667,1.7333333333333334,2.433333333333333
16,325,2008,1,Violence,1.1,2.2,1.1,1.85,2.9
16,327,2008,1,Violence,1.4,2.5,1.3,2.15,2.9
16,329,2008,1,Violence,1.25,1.9,1.15,2.35,2.15
16,332,2008,1,Violence,1.75,2.55,1.6,2.8,3.4
16,335,2008,1,Violence,1.5,2.55,1.35,2.45,3.05
17,337,2008,5,Violence,1.3,3.2,0.95,2.9473684210526314,3.6
17,338,2008,5,Violence,1.45,3.135593220338983,1.2033898305084745,2.9,3.683333333333333
17,339,2008,5,Violence,1.1578947368421053,2.6842105263157894,0.8823529411764706,3.1578947368421053,3.789473684210526
17,340,2008,5,Violence,1.35,2.9,1.4,2.7,3.25
17,341,2008,5,Violence,1.2,2.7,1.2,2.4,2.85
17,343,2008,5,Violence,1.3,2.8,1.1,2.35,2.9
19,344,2008,1,Violence,1.4375,2.3,1.15,2.25,3.05
19,345,2008,1,Violence,1.2820512820512822,3.7948717948717947,1.3421052631578947,3.58974358974359,4.538461538461538
19,346,2008,1,Violence,1.0555555555555556,3.9473684210526314,1.263157894736842,3.9473684210526314,4.7368421052631575
19,347,2008,1,Violence,1.25,3.05,1.368421052631579,3.05,3.8
19,348,2008,1,Violence,1.4,2.55,1.05,2.65,3.5
19,349,2008,1,Violence,1.368421052631579,3.789473684210526,1.3157894736842106,3.8421052631578947,4.7368421052631575
19,350,2008,1,Violence,1.6842105263157894,3.9,1.55,3.85,4.8
18,351,2008,2,Violence,1.5,3.033333333333333,1.293103448275862,2.9661016949152543,3.85
18,353,2008,2,Violence,1,0.7,1,1.4,2.3
18,354,2008,2,Violence,1.45,2.55,1.25,2.3,3.1
18,355,2008,2,Violence,1.2,3.65,1.4,3.05,4.35
18,356,2008,2,Violence,1.05,2.75,1,2.4,3.1
18,358,2008,2,Violence,1.4,3.1578947368421053,1.4,3.2,4
18,361,2008,2,Violence,1.4,3.4,1.35,2.95,3.75
18,365,2008,2,Violence,1.25,2.75,1.35,2.8,3.5789473684210527
20,366,2008,1,Violence,1.2666666666666666,2.566666666666667,1.2666666666666666,2.9,3.3666666666666667
20,367,2008,1,Violence,1.25,2.1,1.1,2.3,2.8
20,369,2008,1,Violence,0.3125,1.8125,0.3125,1.8,2.1875
20,370,2008,1,Violence,1.6,3.2,1,2.85,3.85
20,371,2008,1,Violence,1.55,2.95,1.15,3.15,4
20,373,2008,1,Violence,1.25,2.5,1.15,2.6,3.35
20,375,2008,1,Violence,1.5,2.9,1.1,2.7,3.4
20,376,2008,1,Violence,1.15,2.95,1.15,3,3.45
21,377,2008,0,No Violence,1.6,3.2,1.25,2.75,3.45
21,378,2008,0,No Violence,1.3513513513513513,3.1621621621621623,1.236842105263158,3.0285714285714285,3.4571428571428573
21,379,2008,0,No Violence,1.15,2.3,1.4,2,3.3
21,380,2008,0,No Violence,1.105263157894737,2.8,0.7777777777777778,2.0555555555555554,3.45
21,381,2008,0,No Violence,1.7894736842105263,3.2777777777777777,1.736842105263158,3.210526315789474,3.8947368421052633
21,382,2008,0,No Violence,1.4,3,1.6,2.6,3.2
21,383,2008,0,No Violence,1.8,3.5,1.7,3.5,4.3
22,384,2008,2,Violence,1.45,2.3,1.2,2.5,2.85
22,385,2008,2,Violence,1.35,2.4,1.5,2.75,2.95
22,386,2008,2,Violence,1.35,3.1,1.25,2.85,3.5
22,388,2008,2,Violence,1.35,3.15,1.2,2.75,3.55
22,390,2008,2,Violence,1.5,2.65,1.35,2.7,2.75
22,392,2008,2,Violence,1.05,2.05,1.05,2.1,2.65
22,396,2008,2,Violence,0.9473684210526315,2.3157894736842106,1.0526315789473684,2.3684210526315788,2.789473684210526
22,397,2008,2,Violence,1.105263157894737,2.3,1.2,2.5,3.15
23,399,2008,3,Violence,0.8461538461538461,1.85,0.75,1.225,1.75
23,400,2008,3,Violence,0.95,1.625,0.85,1.25,1.225
23,401,2008,3,Violence,0.55,1.65,0.5,0.95,1.05
23,403,2008,3,Violence,0.95,2.175,1.05,1.55,1.275
23,404,2008,3,Violence,0.7,1.8,0.6,1.1,0.6
24,405,2008,3,Violence,0.9791666666666666,1.489795918367347,0.6956521739130435,1.4081632653061225,1.6734693877551021
24,406,2008,3,Violence,1.6,2.75,1.125,2.1,3.051282051282051
24,407,2008,3,Violence,0.35,1.1,0.35,0.8,0.65
24,408,2008,3,Violence,0.9,1.5,0.7,0.95,2.2
24,410,2008,3,Violence,1.2105263157894737,2.473684210526316,1.1578947368421053,2.210526315789474,2.8421052631578947
24,412,2008,3,Violence,1.0526315789473684,1.55,0.9411764705882353,1.55,1.7
24,416,2008,3,Violence,1.15,2.1,1.05,2.05,3.05
25,421,2008,5,Violence,0.7857142857142857,1.4090909090909092,0.8095238095238095,1.4772727272727273,2.2954545454545454
25,422,2008,5,Violence,0.1,0.4,0.3333333333333333,0.5555555555555556,1.3333333333333333
25,423,2008,5,Violence,0.6,0.75,0.5,0.9,1.85
25,425,2008,5,Violence,0.6842105263157895,1.9,0.85,1.6,2.35
25,426,2008,5,Violence,0.75,1,0.4,0.85,1.8421052631578947
25,428,2008,5,Violence,0.25,0.4,0.16666666666666666,0.45,1.35
25,430,2008,5,Violence,0.6111111111111112,1.2777777777777777,0.4444444444444444,0.8888888888888888,1.6111111111111112
26,432,2008,6,Violence,0.8333333333333334,2.5555555555555554,1.1111111111111112,2.4444444444444446,3.0555555555555554
26,433,2008,6,Violence,0.4186046511627907,2.255813953488372,0.5116279069767442,2.0232558139534884,3
26,434,2008,6,Violence,0.23333333333333334,0.9666666666666667,0.7666666666666667,0.8333333333333334,1.3666666666666667
26,435,2008,6,Violence,1.2,2.725,1.25,2.8,3.675
26,436,2008,6,Violence,0.75,2,0.65,2.45,2.9
27,437,2008,8,Violence,0.7,1.2,0.6,1.2,1.8
27,438,2008,8,Violence,1.3,2.05,1.3,1.85,2.4
27,439,2008,8,Violence,0.7,1.6,0.55,1.45,1.8
27,440,2008,8,Violence,1,1.5263157894736843,1.05,1.2,1.75
27,442,2008,8,Violence,1.25,1,1.1,1.2,1.45
27,443,2008,8,Violence,1.3,1.7,1.4,2.2,3
27,444,2008,8,Violence,1.15,1.7,1.45,2.3,2.6
27,445,2008,8,Violence,0.875,1.1142857142857143,0.8,1.3243243243243243,1.65
28,450,2008,7,Violence,1.106060606060606,1.8676470588235294,1.1846153846153846,1.710144927536232,2.234375
28,451,2008,7,Violence,0.9,1.45,1.4210526315789473,1.2,2.3
28,452,2008,7,Violence,0.55,1.05,0.75,1.25,1.4
28,454,2008,7,Violence,0.7368421052631579,1.5,1.05,1.6,2.7
28,455,2008,7,Violence,1.1875,1.1,1.05,1.8888888888888888,2.05
28,456,2008,7,Violence,0.5,0.9,0.65,1,1.35
28,458,2008,7,Violence,1.1578947368421053,1.263157894736842,0.8947368421052632,1.3157894736842106,2.1578947368421053
29,466,2008,5,Violence,1,1.9,1.3,1.6,2
29,468,2008,5,Violence,0.975,1.4,0.925,1.425,1.25
29,469,2008,5,Violence,1,1.4615384615384615,0.95,1.6,2.1
29,471,2008,5,Violence,0.9,1.6,1,1.7,2.5
29,472,2008,5,Violence,0.75,1.1,0.8,1.45,2.0526315789473686
29,474,2008,5,Violence,1.05,1.65,1.15,1.6,2.526315789473684
29,475,2008,5,Violence,0.85,1.3,0.95,1.4,1.65
30,477,2008,4,Violence,0.625,1.925,0.325,1.5897435897435896,2.525
30,478,2008,4,Violence,0.6833333333333333,1.728813559322034,0.36666666666666664,1.4,2.4
30,481,2008,4,Violence,0.6,1.6610169491525424,0.26666666666666666,1.65,2.6333333333333333
31,482,2008,1,Violence,0.8,1.8,1.05,1.2,2.25
31,483,2008,1,Violence,1.1,0.7,1.1,0.8,1.25
31,484,2008,1,Violence,1.075,2.35,0.95,1.6,1.9
31,485,2008,1,Violence,0.6842105263157895,2.5789473684210527,0.6842105263157895,1.4210526315789473,1.894736842105263
31,487,2008,1,Violence,1.45,3.05,1.15,2.3,2.7
31,489,2008,1,Violence,0.6842105263157895,2.473684210526316,0.631578947368421,1.6842105263157894,2.5789473684210527
31,491,2008,1,Violence,1.4,2.7333333333333334,1.2666666666666666,2,1.8571428571428572
32,492,2008,0,No Violence,1.631578947368421,3.711864406779661,1.1111111111111112,3.4482758620689653,4.344827586206897
32,493,2008,0,No Violence,2,4,1.05,3.85,4.75
32,494,2008,0,No Violence,1.8,3.25,1.2,3.35,4.315789473684211
32,495,2008,0,No Violence,1.8235294117647058,3.176470588235294,0.9705882352941176,3.088235294117647,3.787878787878788
32,497,2008,0,No Violence,1.5294117647058822,2.9411764705882355,1.0588235294117647,2.9411764705882355,3.2941176470588234
33,499,2008,0,No Violence,1.9,3.825,1.15,2.475,4.725
33,500,2008,0,No Violence,1.95,3.9,1,3.75,4.7
33,501,2008,0,No Violence,2,3.6,1.2,3.45,4.4
33,502,2008,0,No Violence,1.8,3.6,1.3,2.95,4.65
33,503,2008,0,No Violence,2,4,1.1,2.3,4.7
33,504,2008,0,No Violence,1.95,3.2,1,3.5,4.25
33,505,2008,0,No Violence,1.7,3.95,1,3.55,4.65
34,506,2008,1,Violence,1.368421052631579,2.85,1,2.8,3.6315789473684212
34,507,2008,1,Violence,1.025,1.55,1.025,1.775,1.425
34,508,2008,1,Violence,1.5263157894736843,2.85,0.9473684210526315,2.55,3.15
34,509,2008,1,Violence,1.65,2.75,1.45,2.7,3.35
34,510,2008,1,Violence,1.2,1.95,1.15,1.65,2.5
34,512,2008,1,Violence,1.7,2.7,1.6,2.6,3.6
34,513,2008,1,Violence,1.05,1.894736842105263,1.2,1.65,2.5
